Date,Close/Last,Volume,Open,High,Low
11/07/2023,$181.82,70529970,$179.18,$182.44,$178.97
11/06/2023,$179.23,63841310,$176.38,$179.43,$176.21
11/03/2023,$176.65,79829250,$174.24,$176.82,$173.35
11/02/2023,$177.57,77334750,$175.52,$177.78,$175.46
11/01/2023,$173.97,56934910,$171.00,$174.23,$170.12
10/31/2023,$170.77,44846020,$169.35,$170.90,$167.90
10/30/2023,$170.29,51130960,$169.02,$171.17,$168.87
10/27/2023,$168.22,58499130,$166.91,$168.96,$166.83
10/26/2023,$166.89,70625260,$170.37,$171.3775,$165.67
10/25/2023,$171.10,57156960,$171.88,$173.06,$170.65
